county,deer_sex,ratio,sd,harv,sd_harv,DoeLimit,BuckLimit,APR,Area
Carroll,Button Buck,0.059487794,0.01183628,64.3625,19.18891049,2,0,0,630
Carroll,Doe,0.354504612,0.012982214,409.45,83.71721107,2,0,0,630
Madison,Antlered,,,0,0,2,0,0,834
Madison,Button Buck,0.062315584,0.019250317,16.15,11.77087811,2,0,0,834
Madison,Doe,0.404842545,0.0418184,123.5,35.28152086,2,0,0,834
Marion,Antlered,,,0,0,2,0,0,597
Marion,Button Buck,0.07875107,0.007409038,97.6125,27.30122969,2,0,0,597
Marion,Doe,0.429283502,0.036254637,706.5625,144.3224935,2,0,0,597
Newton,Antlered,,,0,0,2,0,0,821
Newton,Button Buck,0.072488165,0.009834444,97.375,47.68348022,2,0,0,821
Newton,Doe,0.39117924,0.025098428,729.6,261.2830977,2,0,0,821
Pope,Antlered,,,0,0,2,0,0,812
Pope,Button Buck,0.079942436,0.044136775,1.583333334,1.767766953,2,0,0,812
Pope,Doe,0.447353062,0.081304183,9.2625,5.070925528,2,0,0,812
Searcy,Antlered,,,0,0,2,0,0,669
Searcy,Button Buck,0.072977292,0.012072865,81.7,31.8747549,2,0,0,669
Searcy,Doe,0.403126754,0.013641412,617.025,89.77113758,2,0,0,669
Stone,Antlered,,,0,0,2,0,0,609
Stone,Button Buck,0.080071646,0.013220003,41.5625,18.7116274,2,0,0,609
Stone,Doe,0.43536087,0.026085092,288.0875,84.58596641,2,0,0,609
Van Buren,Antlered,,,0,0,2,0,0,708
Van Buren,Button Buck,0.071159081,0.019226246,3.483333334,1.927248223,2,0,0,708
Van Buren,Doe,0.466833301,0.069111886,25.8875,6.860862087,2,0,0,708
Baxter,Antlered,,,0,0,1,0,0,554
Baxter,Button Buck,,,5.5,0.707106781,1,0,0,554
Baxter,Doe,,,33,15.55634919,1,0,0,554
Boone,Antlered,,,0,0,1,0,0,590
Boone,Button Buck,,,73.5,12.02081528,1,0,0,590
Boone,Doe,,,383,100.4091629,1,0,0,590
Carroll,Antlered,,,0,0,1,0,0,630
Carroll,Button Buck,,,31,9.899494937,1,0,0,630
Carroll,Doe,,,185.5,16.26345597,1,0,0,630
Madison,Antlered,,,0,0,1,0,0,834
Madison,Button Buck,,,10.5,0.707106781,1,0,0,834
Madison,Doe,,,57.5,16.26345597,1,0,0,834
Marion,Antlered,,,0,0,1,0,0,597
Marion,Button Buck,,,55.5,10.60660172,1,0,0,597
Marion,Doe,,,277.5,84.14570696,1,0,0,597
Newton,Antlered,,,0,0,1,0,0,821
Newton,Button Buck,,,72,12.72792206,1,0,0,821
Newton,Doe,,,329.5,13.43502884,1,0,0,821
Pope,Antlered,,,0,0,1,0,0,812
Pope,Button Buck,,,2,1.414213562,1,0,0,812
Pope,Doe,,,10,5.656854249,1,0,0,812
Searcy,Antlered,,,0,0,1,0,0,669
Searcy,Button Buck,,,58.5,7.778174593,1,0,0,669
Searcy,Doe,,,250,7.071067812,1,0,0,669
Stone,Antlered,,,0,0,1,0,0,609
Stone,Button Buck,,,30,8.485281374,1,0,0,609
Stone,Doe,,,89.5,36.06244584,1,0,0,609
Van Buren,Antlered,,,0,0,1,0,0,708
Van Buren,Button Buck,,,2.5,0.707106781,1,0,0,708
Van Buren,Doe,,,18.5,12.02081528,1,0,0,708
Baxter,Antlered,,,31.85714286,11.05559544,0,1,0,554
Baxter,Button Buck,,,0,0,0,1,0,554
Baxter,Doe,,,0,0,0,1,0,554
Boone,Antlered,,,498.25,104.65624,0,1,0,590
Boone,Button Buck,,,0,0,0,1,0,590
Boone,Doe,,,0,0,0,1,0,590
Carroll,Antlered,,,322.1875,62.43964945,0,1,0,630
Carroll,Button Buck,,,0,0,0,1,0,630
Carroll,Doe,,,0,0,0,1,0,630
Madison,Antlered,,,108.125,23.04924852,0,1,0,834
Madison,Button Buck,,,0,0,0,1,0,834
Madison,Doe,,,0,0,0,1,0,834
Marion,Antlered,,,380.0625,84.4306298,0,1,0,597
Marion,Button Buck,,,0,0,0,1,0,597
Marion,Doe,,,0,0,0,1,0,597
Newton,Antlered,,,388.9375,140.9598316,0,1,0,821
Newton,Button Buck,,,0,0,0,1,0,821
Newton,Doe,,,0,0,0,1,0,821
Pope,Antlered,,,10.125,3.032561388,0,1,0,812
Pope,Button Buck,,,0,0,0,1,0,812
Pope,Doe,,,0,0,0,1,0,812
Searcy,Antlered,,,447.875,64.2438157,0,1,0,669
Searcy,Button Buck,,,0,0,0,1,0,669
Searcy,Doe,,,0,0,0,1,0,669
Stone,Antlered,,,185.0625,39.46828519,0,1,0,609
Stone,Button Buck,,,0,0,0,1,0,609
Stone,Doe,,,0,0,0,1,0,609
Van Buren,Antlered,,,17.875,4.12093956,0,1,0,708
Van Buren,Button Buck,,,0,0,0,1,0,708
Van Buren,Doe,,,0,0,0,1,0,708
Baxter,Antlered,,,31.85714286,11.05559544,1,1,0,554
Baxter,Button Buck,,,5.5,0.707106781,1,1,0,554
Baxter,Doe,,,33,15.55634919,1,1,0,554
Boone,Antlered,,,498.25,104.65624,1,1,0,590
Boone,Button Buck,,,73.5,12.02081528,1,1,0,590
Boone,Doe,,,383,100.4091629,1,1,0,590
Carroll,Antlered,,,322.1875,62.43964945,1,1,0,630
Carroll,Button Buck,,,31,9.899494937,1,1,0,630
Carroll,Doe,,,185.5,16.26345597,1,1,0,630
Madison,Antlered,,,108.125,23.04924852,1,1,0,834
Madison,Button Buck,,,10.5,0.707106781,1,1,0,834
Madison,Doe,,,57.5,16.26345597,1,1,0,834
Marion,Antlered,,,380.0625,84.4306298,1,1,0,597
Marion,Button Buck,,,55.5,10.60660172,1,1,0,597
Marion,Doe,,,277.5,84.14570696,1,1,0,597
Newton,Antlered,,,388.9375,140.9598316,1,1,0,821
Newton,Button Buck,,,72,12.72792206,1,1,0,821
Newton,Doe,,,329.5,13.43502884,1,1,0,821
Pope,Antlered,,,10.125,3.032561388,1,1,0,812
Pope,Button Buck,,,2,1.414213562,1,1,0,812
Pope,Doe,,,10,5.656854249,1,1,0,812
Searcy,Antlered,,,447.875,64.2438157,1,1,0,669
Searcy,Button Buck,,,58.5,7.778174593,1,1,0,669
Searcy,Doe,,,250,7.071067812,1,1,0,669
Stone,Antlered,,,185.0625,39.46828519,1,1,0,609
Stone,Button Buck,,,30,8.485281374,1,1,0,609
Stone,Doe,,,89.5,36.06244584,1,1,0,609
Van Buren,Antlered,,,17.875,4.12093956,1,1,0,708
Van Buren,Button Buck,,,2.5,0.707106781,1,1,0,708
Van Buren,Doe,,,18.5,12.02081528,1,1,0,708
Baxter,Antlered,0.467082688,0.039742839,63.71428571,22.11119087,1,2,0,554
Baxter,Button Buck,0,0,5.5,0.707106781,1,2,0,554
Baxter,Doe,0,0,33,15.55634919,1,2,0,554
Boone,Antlered,0.518581424,0.022305174,996.5,209.31248,1,2,0,590
Boone,Button Buck,0,0,73.5,12.02081528,1,2,0,590
Boone,Doe,0,0,383,100.4091629,1,2,0,590
Carroll,Antlered,0.586007594,0.017671748,644.375,124.8792989,1,2,0,630
Carroll,Button Buck,0,0,31,9.899494937,1,2,0,630
Carroll,Doe,0,0,185.5,16.26345597,1,2,0,630
Madison,Antlered,0.532841871,0.037519889,216.25,46.09849703,1,2,0,834
Madison,Button Buck,0,0,10.5,0.707106781,1,2,0,834
Madison,Doe,0,0,57.5,16.26345597,1,2,0,834
Marion,Antlered,0.491965427,0.032940905,760.125,168.8612596,1,2,0,597
Marion,Button Buck,0,0,55.5,10.60660172,1,2,0,597
Marion,Doe,0,0,277.5,84.14570696,1,2,0,597
Newton,Antlered,0.536332595,0.031722215,777.875,281.9196631,1,2,0,821
Newton,Button Buck,0,0,72,12.72792206,1,2,0,821
Newton,Doe,0,0,329.5,13.43502884,1,2,0,821
Pope,Antlered,0.472704501,0.086590591,20.25,6.065122776,1,2,0,812
Pope,Button Buck,0,0,2,1.414213562,1,2,0,812
